text,label
"Le prix est de 20 euros.","montant"
"J'ai dépensé 15.50 EUR pour le déjeuner.","montant"
"Le coût total est de 99,99 €.","montant"
"Ce produit coûte 30 EUR.","montant"
"J'ai payé 100,50 euros pour ce repas.","montant"
"Le montant de la facture est de 1 250,75 €.","montant"
"Le coût du transport s'élève à 12 EUR.","montant"
"Nous avons dépensé 200 euros en vacances.","montant"
"Le tarif pour cet article est de 35,75 €.","montant"
"Le prix du billet de train est de 75 euros.","montant"
"J'ai acheté des vêtements pour 90,99 € hier.","montant"
"Le salaire mensuel est de 2 500,00 EUR.","montant"
"Le montant à payer est de 199,50 €.","montant"
"Le prix d'un abonnement est de 49,99 EUR.","montant"
"Le tarif de l'assurance est de 350 euros par an.","montant"
"J'ai reçu un remboursement de 80,00 €.","montant"
"Le café coûte 3,50 € dans ce café.","montant"
"Le montant total de la facture est de 475,25 €.","montant"
"Le coût d'un ticket de cinéma est de 15,50 EUR.","montant"
"J'ai payé 300 euros pour la réparation.","montant"
"Le loyer est de 1 200,00 EUR par mois.","montant"
"Le repas pour deux nous a coûté 60,99 €.","montant"
"Le coût des courses était de 150 euros.","montant"
"Le budget alloué pour ce projet est de 25 000 EUR.","montant"
"Le prix du café est de 2.99 € aujourd'hui.","montant"
"J'ai payé 19,99 EUR pour l'abonnement mensuel.","montant"
"Le prix d'une bouteille d'eau est de 1,50 €.","montant"
"Le montant total de la commande s'élève à 89,50 EUR.","montant"
"J'ai payé 45 euros pour le service de nettoyage.","montant"
"Il a gagné 1 000 EUR ce mois-ci.","montant"
"Le pack de données coûte 20,00 €.","montant"
"J'ai dépensé 2 000 euros en mobilier.","montant"
"Le prix de ce tableau est de 300,50 EUR.","montant"
"Le montant du prêt est de 150 000 €.","montant"
"Le total des achats est de 85,75 euros.","montant"
"Le coût de l'examen médical est de 99,00 €.","montant"
"J'ai payé 10,50 EUR pour le déjeuner.","montant"
"Les frais de port sont de 5,99 €.","montant"
"Le tarif horaire est de 15 EUR.","montant"
"J'ai payé 150 euros pour une consultation.","montant"
"Le montant de l'addition est de 75,45 €.","montant"
"Le billet d'avion coûte 350,00 EUR.","montant"
"Le total de la facture est de 200,50 €.","montant"
"Le prix d'entrée au musée est de 12 EUR.","montant"
"Le forfait internet coûte 49,99 € par mois.","montant"
"Le prix d'une place de théâtre est de 25,00 EUR.","montant"
"Le prix de ce sac est de 250,75 €.","montant"
"J'ai payé 60 euros pour les cours de yoga.","montant"
"Les frais d'inscription sont de 75,00 EUR.","montant"
"Le tarif mensuel est de 35,99 €.","montant"
"Le montant des taxes s'élève à 80,50 €.","montant"
"Le prix de la chambre d'hôtel est de 150 euros.","montant"
"Le montant dû est de 300,00 EUR.","montant"
"Le coût de la réparation est de 200,75 €.","montant"
"Le prix d'un sandwich est de 5,50 €.","montant"
"Le prix de la chemise est de 25,00 EUR.","montant"
"Les frais de dossier sont de 30 euros.","montant"
"Le coût de la rénovation est de 3 000,00 EUR.","montant"
"Le montant total des achats est de 350,99 €.","montant"
"Le prix du livre est de 18,50 EUR.","montant"
"Le loyer mensuel est de 750 euros.","montant"
"Le total à payer est de 125,75 €.","montant"
"Le montant des factures s'élève à 500,00 EUR.","montant"
"Le coût des matériaux est de 200,99 euros.","montant"
"Le montant du virement est de 1 500,00 EUR.","montant"
"Le prix de la consultation est de 100 euros.","montant"
"Le prix d'un billet de bus est de 1,50 €.","montant"
"Le coût du dîner était de 85,00 EUR.","montant"
"Le tarif de l'abonnement est de 10 euros par mois.","montant"
"Le montant total est de 99,99 €.","montant"
"Le montant de la facture est de 400 EUR.","montant"
"Le tarif pour l'entrée est de 5,99 euros.","montant"
"Le prix du colis est de 15,00 EUR.","montant"
"Le montant de la transaction est de 2 500,50 euros.","montant"
"J'ai payé 450 euros pour le service de déménagement.","montant"
"Le total des frais est de 300,99 EUR.","montant"
"Le prix de l'essence est de 1,50 € par litre.","montant"
"Le coût du voyage est de 1 000,00 EUR.","montant"
"Le montant de la commande est de 75,00 euros.","montant"
"Je vais au cinéma ce soir.","autre"
"Il fait beau aujourd'hui.","autre"
"Comment vas-tu ?","autre"
"Je pars en vacances demain.","autre"
"C'est un très beau tableau.","autre"
"Le café est chaud.","autre"
"J'ai une réunion à 14h.","autre"
"Je me sens bien aujourd'hui.","autre"
"Je vais à la plage demain.","autre"
"Il est parti au travail tôt ce matin.","autre"
"Elle a acheté un nouveau livre.","autre"
"Nous avons visité le musée hier.","autre"
"Je pars pour un week-end en montagne.","autre"
"Elle a préparé un délicieux dîner.","autre"
"Nous sommes allés faire les courses.","autre"
"Il aime écouter de la musique classique.","autre"
"Je vais prendre un café avec un ami.","autre"
"Elle a fait une longue promenade aujourd'hui.","autre"
"Je vais bientôt déménager.","autre"
"Il a trouvé un nouveau travail récemment.","autre"
"Elle a commencé un nouveau projet au travail.","autre"
"Je pars à 15h pour la réunion.","autre"
"Le parc était rempli de monde aujourd'hui.","autre"
"Nous avons passé un excellent moment hier.","autre"
"Il aime peindre pendant son temps libre.","autre"
"Nous sommes allés au restaurant hier soir.","autre"
"Elle a acheté une nouvelle voiture la semaine dernière.","autre"
"Je prépare un gâteau pour la fête de demain.","autre"
"Il a décidé de partir en vacances seul.","autre"
"Le jardin est magnifique au printemps.","autre"
"Nous avons fait du vélo dans la forêt.","autre"
"Elle adore les films d'aventure.","autre"
"Nous avons mangé dans un excellent restaurant hier soir.","autre"
"Je vais me reposer ce week-end.","autre"
"Elle a acheté des fleurs pour décorer la maison.","autre"
"Il a terminé son projet en avance.","autre"
"Nous avons visité une galerie d'art hier.","autre"
"Elle est très douée en peinture.","autre"
"Nous avons fait du camping le week-end dernier.","autre"
"Il a commencé un nouveau livre récemment.","autre"
"Je vais faire une promenade cet après-midi.","autre"
"Elle lit un livre intéressant en ce moment.","autre"
"Il adore cuisiner le week-end.","autre"
"Nous avons décidé de partir en randonnée demain.","autre"
"Elle aime jouer du piano le soir.","autre"
"Le film d'hier était vraiment captivant.","autre"
"Je dois aller chercher des documents à la mairie.","autre"
"Il est en train de préparer une présentation pour demain.","autre"
"Nous avons passé l'après-midi au parc.","autre"
"Elle adore les animaux et a adopté un chien récemment.","autre"
"Il a terminé la course à pied en 45 minutes.","autre"
"Je vais regarder un film ce soir avec des amis.","autre"
"Elle a décoré sa maison pour Noël.","autre"
"Il a prévu de visiter plusieurs pays cet été.","autre"
"Nous avons assisté à un concert incroyable hier soir.","autre"
"Je vais lire un peu avant de dormir.","autre"
"Elle est en train d'apprendre à jouer de la guitare.","autre"
"Nous avons pris un excellent dîner hier soir.","autre"
"Il fait un temps magnifique aujourd'hui.","autre"
"Je vais m'inscrire à un cours de photographie.","autre"
"Elle a peint un tableau pour l'exposition à venir.","autre"
"Il travaille sur un projet important au bureau.","autre"
"Nous avons prévu de nous retrouver pour le déjeuner demain.","autre"
"Elle a commencé à courir tous les matins.","autre"
"Il a rencontré des amis pour un café cet après-midi.","autre"
"Je pense acheter une nouvelle paire de chaussures la semaine prochaine.","autre"
"Elle a passé toute la journée à jardiner.","autre"
"Nous avons fait un tour en bateau ce week-end.","autre"
"Il a écrit un nouvel article pour son blog.","autre"
"Je vais essayer une nouvelle recette de gâteau ce soir.","autre"
"Elle a organisé une fête pour son anniversaire.","autre"
"Il va suivre une formation en ligne la semaine prochaine.","autre"
"Nous avons visité une nouvelle exposition d'art contemporain.","autre"
"Je vais ranger ma chambre ce week-end.","autre"
"Elle apprend une nouvelle langue depuis quelques mois.","autre"
"Il prévoit d'aller à la salle de sport trois fois par semaine.","autre"
"Nous avons fait une longue balade en montagne hier.","autre"
"Je vais passer la journée chez mes grands-parents demain.","autre"
"Elle est en train de préparer un dîner spécial pour ce soir.","autre"
"Il joue aux échecs tous les dimanches avec ses amis.","autre"
"Nous avons réservé une table dans ce nouveau restaurant.","autre"
"Je vais essayer de finir mon livre ce soir.","autre"
"Elle prend des cours de danse depuis un an.","autre"
"Il fait souvent du vélo le week-end.","autre"
"Nous avons vu une pièce de théâtre magnifique hier soir.","autre"
"Je vais rejoindre mes amis pour une partie de football.","autre"
"Elle a passé la journée à faire du shopping.","autre"
"Il a construit une cabane dans le jardin pour ses enfants.","autre"
"Je vais essayer de faire un puzzle ce soir.","autre"
"Elle est en train de planifier son mariage.","autre"
"Nous avons assisté à une conférence intéressante hier.","autre"
"Il est en train de chercher un nouvel appartement.","autre"
"Je vais participer à une course de 10 km le mois prochain.","autre"
"Elle a trouvé une nouvelle recette de dessert à essayer.","autre"
"Il fait souvent des randonnées en montagne le week-end.","autre"
"Nous avons passé la soirée à regarder des films.","autre"
"Je vais nettoyer la voiture demain matin.","autre"
"Elle prépare un voyage autour du monde.","autre"
"Il a fait des progrès impressionnants en peinture.","autre"
"Nous avons décidé de partir en vacances à la mer cette année.","autre"
"Je vais sortir avec des amis ce week-end.","autre"
"Elle adore les fleurs et en achète souvent pour décorer sa maison.","autre"
"Il a organisé une surprise pour l'anniversaire de son frère.","autre"
"Nous avons passé un moment agréable à la plage hier.","autre"
"Je vais m'inscrire à un club de lecture.","autre"
"Elle est en train de repeindre sa chambre en bleu.","autre"
"Il a participé à un marathon le mois dernier.","autre"
"Nous avons prévu de pique-niquer au parc demain.","autre"
"Je vais essayer une nouvelle application de fitness.","autre"
"Elle a commencé un blog sur la mode et la beauté.","autre"
"Il aime passer du temps avec sa famille le week-end.","autre"
"Nous avons visité un village médiéval pendant nos vacances.","autre"
"Je vais me reposer ce week-end, je suis épuisé.","autre"
"Elle a pris un cours de yoga hier matin.","autre"
"Il est en train d'apprendre à coder en Python.","autre"
"Nous avons pris un délicieux brunch dimanche matin.","autre"
"Je vais regarder une nouvelle série télévisée ce soir.","autre"
"Elle a participé à un atelier de poterie le week-end dernier.","autre"
"Il a passé toute la journée à bricoler dans le garage.","autre"
"Nous avons assisté à une pièce de théâtre en plein air.","autre"
"Je vais m'acheter un nouveau téléphone la semaine prochaine.","autre"
"Elle adore faire de la randonnée en montagne.","autre"
"Il a prévu de rendre visite à ses parents ce week-end.","autre"
"Nous avons exploré une nouvelle ville pendant nos vacances.","autre"
"Je vais préparer un repas spécial pour mes amis ce week-end.","autre"
"Elle a suivi un cours de cuisine italienne hier soir.","autre"
"Il a acheté des plantes pour son balcon.","autre"
"Nous avons fait un pique-nique dans le parc hier après-midi.","autre"
"Je vais essayer un nouveau café en ville demain.","autre"
"Elle a décoré son salon avec des tableaux qu'elle a peints.","autre"
"Il est en train de construire une table pour sa salle à manger.","autre"
"Nous avons vu un magnifique coucher de soleil hier soir.","autre"
"Je vais lire un peu avant d'aller me coucher.","autre"
"Elle a adopté un chaton récemment.","autre"
"Il va partir en voyage d'affaires la semaine prochaine.","autre"
"Nous avons pris un petit déjeuner en terrasse ce matin.","autre"
"Je vais regarder un documentaire ce soir à la télé.","autre"
"Elle adore écouter des podcasts sur l'histoire.","autre"
"Il a fait un tour en bateau sur le lac hier.","autre"
"Nous avons planifié une sortie en famille dimanche prochain.","autre"
"Je vais peindre ma chambre ce week-end.","autre"
"Elle a prévu de passer une journée au spa.","autre"
"Il a inscrit son fils à un club de football.","autre"
"Nous avons passé la journée à explorer la ville hier.","autre"
"Je vais acheter des livres pour mes vacances.","autre"
"Elle adore les activités de plein air comme le camping.","autre"
"Il a rejoint une équipe de basketball locale.","autre"
"Nous avons assisté à une conférence sur l'environnement.","autre"
"Je vais préparer des biscuits pour le goûter demain.","autre"
"Elle est en train de rénover sa cuisine.","autre"
"Il a décidé de suivre un cours de photographie cet été.","autre"
"Nous avons pris un verre dans un bar en plein air hier soir.","autre"
"Je vais commencer un nouveau projet de bricolage ce week-end.","autre"
"Elle a trouvé un nouveau passe-temps, la couture.","autre"
"Il est passionné par les voyages et la découverte de nouvelles cultures.","autre"
"Nous avons passé l'après-midi à jardiner hier.","autre"